 ,2016
"050 Ballyvaskin, Co. Clare",45296
"051 Cloghaun, Co. Clare",23902
"052 Cloonanaha, Co. Clare",39324
"053 Clooney, Co. Clare",37816
"054 Ennistimon, Co. Clare",40663
"055 Formoyle, Co. Clare",39580
"056 Kilfenora, Co. Clare",30457
"057 Killaspuglonane, Co. Clare",36687
"058 Killilagh, Co. Clare",32044
"059 Kilshanny, Co. Clare",42333
"060 Liscannor, Co. Clare",48327
"061 Lurraga, Co. Clare",41404
"062 Magherareagh, Co. Clare",38941
"063 Milltown Malbay, Co. Clare",39154
"064 Moy, Co. Clare",37118
"065 Smithstown, Co. Clare",37466
"066 Ballynacally, Co. Clare",..
"067 Clondagad, Co. Clare",39398
"068 Coolmeen, Co. Clare",43082
"069 Kilchreest, Co. Clare",38960
"070 Kilfiddane, Co. Clare",33240
"071 Killadysert, Co. Clare",35168
"072 Killofin, Co. Clare",35231
"073 Kilmurry, Co. Clare",33688
"074 Liscasey, Co. Clare",41582
"075 Lisheen, Co. Clare",42584
"076 Rinealon, Co. Clare",30372
"077 Cahermurphy, Co. Clare",32334
"078 Cloonadrum, Co. Clare",36704
"079 Clooncoorha, Co. Clare",40363
"080 Cooraclare, Co. Clare",29845
"081 Creegh, Co. Clare",27515
"082 Doonbeg, Co. Clare",32616
"083 Drumellihy, Co. Clare",41794
"084 Einagh, Co. Clare",41125
"085 Glenmore, Co. Clare",36229
"086 Kilballyowen, Co. Clare",33633
"087 Kilfearagh, Co. Clare",..
"088 Kilkee, Co. Clare",29014
"089 Killard, Co. Clare",26056
"090 Killimer, Co. Clare",30128
"091 Kilmihil, Co. Clare",34208
"092 Kilmurry, Co. Clare",38086
"093 Kilrush Rural, Co. Clare",34518
"094 Knock, Co. Clare",35566
"095 Knocknaboley, Co. Clare",28036
"096 Knocknagore, Co. Clare",..
"097 Moveen, Co. Clare",..
"098 Moyarta, Co. Clare",..
"099 Mullagh, Co. Clare",25020
"100 Querrin, Co. Clare",..
"101 Rahona, Co. Clare",..
"102 St. Martin's, Co. Clare",..
"103 Tullig, Co. Clare",..
"104 Tullycreen, Co. Clare",..
"105 Ballycannan, Co. Clare",37663
"106 Ballyglass, Co. Clare",39691
"107 Cappavilla, Co. Clare",40977
"108 Castlecrine, Co. Clare",39815
"109 Cloghera, Co. Clare",39301
"110 Cloontra, Co. Clare",..
"111 Cratloe, Co. Clare",57597
"112 Fahymore, Co. Clare",41474
"113 Killeely, Co. Clare",45964
"114 Killokennedy, Co. Clare",40677
"115 Kilseily, Co. Clare",41317
"116 Kiltenanlea, Co. Clare",40855
"117 Lackareagh, Co. Clare",..
"118 Mountievers, Co. Clare",28829
"119 O'Briensbridge, Co. Clare",37994
"120 Ayle, Co. Clare",29112
"121 Boherglass, Co. Clare",41252
"122 Caherhurley, Co. Clare",45794
"124 Cappaghabaun, Co. Clare",42388
"125 Carrowbaun, Co. Clare",51211
"126 Cloonusker, Co. Clare",33282
"127 Coolreagh, Co. Clare",41174
999 Corlea / Cahermurphy,43705
"129 Derrynagittagh, Co. Clare",..
"130 Drummaan, Co. Clare",36713
"131 Feakle, Co. Clare",44363
999 Inishcaltra North / Inishcaltra South,35787
"134 Killaloe, Co. Clare",36509
"135 Mountshannon, Co. Clare",32944
"136 Ogonnelloe, Co. Clare",51793
"137 Scarriff, Co. Clare",37137
"138 Ballyblood, Co. Clare",..
"139 Ballynahinch, Co. Clare",34018
"140 Caher, Co. Clare",37634
"141 Clooney, Co. Clare",44547
"142 Dangan, Co. Clare",43443
"143 Glendree, Co. Clare",47680
"144 Kilkishen, Co. Clare",35890
"145 Killanena, Co. Clare",46390
"146 Killuran, Co. Clare",37490
"147 Kiltannon, Co. Clare",39036
"148 Kyle, Co. Clare",50625
"149 Loughea, Co. Clare",..
"150 Newgrove, Co. Clare",37591
"151 Quin, Co. Clare",48610
"152 Rathclooney, Co. Clare",..
"153 Rossroe, Co. Clare",44130
"154 Toberbreeda, Co. Clare",40781
"155 Tulla, Co. Clare",41945
"001 Ballinlough A, Cork City",34804
"002 Ballinlough B, Cork City",51032
"003 Ballinlough C, Cork City",35005
"004 Ballyphehane A, Cork City",28417
"005 Ballyphehane B, Cork City",30634
"006 Bishopstown A, Cork City",40639
"007 Bishopstown B, Cork City",33086
"008 Bishopstown C, Cork City",41336
"009 Bishopstown D, Cork City",40741
"010 Bishopstown E, Cork City",34342
"011 Blackpool A, Cork City",24032
"012 Blackpool B, Cork City",27138
"013 Browningstown, Cork City",53982
"014 Centre A, Cork City",26155
"015 Centre B, Cork City",28456
"016 Churchfield, Cork City",29835
"017 City Hall A, Cork City",32900
"018 City Hall B, Cork City",36909
"019 Commons, Cork City",21728
"020 Evergreen, Cork City",26227
"021 Fair Hill A, Cork City",27375
"022 Fair Hill B, Cork City",35625
"023 Fair Hill C, Cork City",27793
"024 Farranferris A, Cork City",26767
"025 Farranferris B, Cork City",26690
"026 Farranferris C, Cork City",30161
"027 Gillabbey A, Cork City",26531
"028 Gillabbey B, Cork City",24241
"029 Gillabbey C, Cork City",44733
"030 Glasheen A, Cork City",32464
"031 Glasheen B, Cork City",25599
"032 Glasheen C, Cork City",36490
"033 Greenmount, Cork City",29316
"034 Gurranebraher A, Cork City",29534
"035 Gurranebraher B, Cork City",24927
"036 Gurranebraher C, Cork City",22610
"037 Gurranebraher D, Cork City",35332
"038 Gurranebraher E, Cork City",30436
"039 Knocknaheeny, Cork City",21976
"040 Knockrea A, Cork City",45000
"041 Knockrea B, Cork City",35778
"042 Mahon A, Cork City",37430
"043 Mahon B, Cork City",27918
"044 Mahon C, Cork City",40362
"045 Mardyke, Cork City",26941
"046 Mayfield, Cork City",20917
"047 Montenotte A, Cork City",40941
"048 Montenotte B, Cork City",35510
"049 Pouladuff A, Cork City",29861
"050 Pouladuff B, Cork City",26634
"051 St. Patrick's A, Cork City",23672
"052 St. Patrick's B, Cork City",29404
"053 St. Patrick's C, Cork City",34194
"054 Shanakiel, Cork City",25741
"055 Shandon A, Cork City",26492
"056 Shandon B, Cork City",29283
"057 South Gate A, Cork City",26644
"058 South Gate B, Cork City",24244
"059 Sundays Well A, Cork City",25997
"060 Sundays Well B, Cork City",32326
"061 The Glen A, Cork City",24111
"062 The Glen B, Cork City",28579
"063 The Lough, Cork City",26483
"064 Tivoli A, Cork City",31862
"065 Tivoli B, Cork City",35854
"066 Togher A, Cork City",25904
"067 Togher B, Cork City",30336
"068 Tramore A, Cork City",41387
"069 Tramore B, Cork City",32062
"070 Tramore C, Cork City",30745
"071 Turners Cross A, Cork City",30887
"072 Turners Cross B, Cork City",50594
"073 Turners Cross C, Cork City",33058
"074 Turners Cross D, Cork City",..
"001 Clonakilty Urban, Co. Cork",43164
"002 Cobh Urban, Co. Cork",33924
"003 Fermoy Urban, Co. Cork",35279
"004 Kinsale Urban, Co. Cork",37275
"005 Macroom Urban, Co. Cork",37927
"006 Mallow North Urban, Co. Cork",38857
"007 Mallow South Urban, Co. Cork",36795
"008 Midleton Urban, Co. Cork",32564
"009 Skibbereen Urban, Co. Cork",28051
"010 Youghal Urban, Co. Cork",37768
"011 Ballinadee, Co. Cork",49661
"012 Ballygroman, Co. Cork",50480
"013 Ballymodan, Co. Cork",38423
"014 Ballymurphy, Co. Cork",49817
"015 Bandon, Co. Cork",30403
"016 Baurleigh, Co. Cork",39022
"017 Bengour, Co. Cork",36822
"018 Boulteen, Co. Cork",52329
"019 Brinny, Co. Cork",50566
"020 Cashel, Co. Cork",43413
"021 Inishannon, Co. Cork",44260
"022 Kilbonane, Co. Cork",45367
"023 Kilbrittain, Co. Cork",35433
"024 Kilbrogan, Co. Cork",41231
"025 Knockavilly, Co. Cork",42460
"026 Knockroe, Co. Cork",52363
"027 Moviddy, Co. Cork",40132
"028 Murragh, Co. Cork",35965
"029 Rathclarin, Co. Cork",47889
"030 Teadies, Co. Cork",38826
"031 Templemartin, Co. Cork",51800
"032 Ahil, Co. Cork",..
999 Bantry Rural / Whiddy,42498
"034 Bantry Urban, Co. Cork",32056
"035 Douce, Co. Cork",..
"036 Durrus East, Co. Cork",..
"037 Durrus West, Co. Cork",39747
"038 Glanlough, Co. Cork",..
"039 Glengarriff, Co. Cork",35582
"040 Kealkill, Co. Cork",35841
"041 Kilcaskan, Co. Cork",29976
"042 Mealagh, Co. Cork",..
"043 Scart, Co. Cork",..
"044 Seefin, Co. Cork",37777
"045 Sheepshead, Co. Cork",..
"047 Adrigole, Co. Cork",29711
"048 Bear, Co. Cork",..
"049 Coulagh, Co. Cork",22125
"050 Curryglass, Co. Cork",32737
"051 Kilcatherine, Co. Cork",28187
"052 Killaconenagh, Co. Cork",29359
"053 Kilnamanagh, Co. Cork",..
"054 Abbeymahon, Co. Cork",52566
"055 Ardfield, Co. Cork",41032
"056 Argideen, Co. Cork",42431
"057 Butlerstown, Co. Cork",43318
"058 Cahermore, Co. Cork",39750
"059 Castleventry, Co. Cork",41350
"060 Clonakilty Rural, Co. Cork",48328
"061 Coolcraheen, Co. Cork",37059
"062 Courtmacsherry, Co. Cork",40173
"063 Derry, Co. Cork",42834
"064 Kilkerranmore, Co. Cork",44933
"065 Kilmaloda East, Co. Cork",51424
"066 Kilmaloda West, Co. Cork",30003
"067 Kilmoylerane, Co. Cork",48205
"068 Kilnagross, Co. Cork",37610
"069 Knocks, Co. Cork",55002
"070 Rathbarry, Co. Cork",39716
"071 Rosscarbery, Co. Cork",41674
"072 Rossmore, Co. Cork",46978
"073 Templeomalus, Co. Cork",38499
"074 Timoleague, Co. Cork",48953
"075 Ballincollig, Co. Cork",39758
"076 Ballygarvan, Co. Cork",40150
"077 Ballynaglogh, Co. Cork",44212
"078 Bishopstown (Part Rural), Co. Cork",..
"079 Blackpool, Co. Cork",45610
"080 Blarney, Co. Cork",39237
"081 Caherlag, Co. Cork",44732
"082 Carrigaline, Co. Cork",35966
"083 Carrignavar, Co. Cork",37618
"084 Carrigrohane Beg, Co. Cork",37425
"085 Cobh Rural, Co. Cork",38461
"086 Douglas, Co. Cork",41526
"087 Dripsey, Co. Cork",40110
"088 Dunderrow, Co. Cork",45345
"089 Firmount, Co. Cork",39394
"090 Glenville, Co. Cork",47907
"091 Greenfort, Co. Cork",43801
"092 Inishkenny, Co. Cork",35049
"093 Killeagh, Co. Cork",41005
"094 Knockantota, Co. Cork",37968
"095 Knockraha, Co. Cork",44892
"096 Lehenagh, Co. Cork",37760
"097 Matehy, Co. Cork",43667
"098 Monkstown Rural, Co. Cork",34923
"099 Monkstown Urban, Co. Cork",37488
"100 Ovens, Co. Cork",42645
"101 Rathcooney (Part Rural), Co. Cork",39408
"102 Riverstown, Co. Cork",40396
"103 St. Mary's (Part Rural), Co. Cork",35736
"104 Whitechurch, Co. Cork",46818
"105 Aultagh, Co. Cork",34516
"106 Ballingurteen, Co. Cork",45956
"107 Ballymoney, Co. Cork",40473
"108 Béal Átha an Ghaorthaidh, Co. Cork",36780
"109 Bealock, Co. Cork",31476
"110 Carrigboy, Co. Cork",35545
"111 Castletown, Co. Cork",40853
"112 Coolmountain, Co. Cork",33637
"113 Drinagh, Co. Cork",..
"114 Dunmanway North, Co. Cork",36552
"115 Dunmanway South, Co. Cork",39736
"116 Garrown, Co. Cork",27689
"117 Kinneigh, Co. Cork",38673
"118 Manch, Co. Cork",43440
"119 Milane, Co. Cork",..
"120 Teerelton, Co. Cork",40973
"121 Aghern, Co. Cork",30724
"122 Ballyhooly, Co. Cork",40691
"123 Ballynoe, Co. Cork",40500
"124 Carrig, Co. Cork",46757
"125 Castlecooke, Co. Cork",23378
"126 Castle Hyde, Co. Cork",40979
"127 Castlelyons, Co. Cork",40625
"128 Castletownroche, Co. Cork",33530
"129 Coole, Co. Cork",40717
"130 Curraglass, Co. Cork",39691
"131 Fermoy Rural, Co. Cork",40372
"132 Glanworth East, Co. Cork",38886
"133 Glanworth West, Co. Cork",38385
"134 Gortnaskehy, Co. Cork",43508
"135 Gortroe, Co. Cork",41807
"136 Kilcor, Co. Cork",42635
"137 Kilcummer, Co. Cork",36196
"138 Kildinan, Co. Cork",37529
"139 Killathy, Co. Cork",37799
"140 Kilworth, Co. Cork",41937
"141 Knockmourne, Co. Cork",37597
"142 Leitrim, Co. Cork",43649
"143 Rathcormack, Co. Cork",35209
"144 Watergrasshill, Co. Cork",46388
"145 Allow, Co. Cork",35587
"146 Ballyhoolahan, Co. Cork",34443
"147 Banteer, Co. Cork",38742
"148 Barleyhill, Co. Cork",37333
"149 Barnacurra, Co. Cork",41328
"150 Bawncross, Co. Cork",36837
"151 Boherboy, Co. Cork",38442
"152 Castlecor, Co. Cork",31813
"153 Castlemagner, Co. Cork",40359
"154 Clonfert East, Co. Cork",33967
"155 Clonfert West, Co. Cork",37812
"156 Clonmeen, Co. Cork",42428
"157 Coolclogh, Co. Cork",39829
"158 Dromina, Co. Cork",38505
"159 Glenlara, Co. Cork",34086
"160 Gortmore, Co. Cork",40713
"161 Greenane, Co. Cork",37354
"162 Kanturk, Co. Cork",36516
"163 Kilbrin, Co. Cork",48856
"164 Kilmeen, Co. Cork",29312
"165 Knockatooan, Co. Cork",26373
"166 Knocktemple, Co. Cork",40936
"167 Meens, Co. Cork",30422
"168 Milford, Co. Cork",37877
"169 Nad, Co. Cork",..
"170 Newmarket, Co. Cork",38854
"171 Newtown, Co. Cork",37374
"172 Roskeen, Co. Cork",40063
"173 Rosnalee, Co. Cork",44424
"174 Rowls, Co. Cork",..
"175 Tincoora, Co. Cork",39000
"176 Tullylease, Co. Cork",42000
"177 Williamstown, Co. Cork",33520
"178 Ballinspittle, Co. Cork",50658
"179 Ballyfeard, Co. Cork",47165
"180 Ballyfoyle, Co. Cork",51822
"181 Ballymackean, Co. Cork",43949
"182 Ballymartle, Co. Cork",46004
"183 Carrigaline, Co. Cork",41675
"184 Coolmain, Co. Cork",39219
"185 Cullen, Co. Cork",51409
"186 Farranbrien, Co. Cork",52217
"187 Kilmonoge, Co. Cork",44091
"188 Kilpatrick, Co. Cork",38184
"189 Kinsale Rural, Co. Cork",43339
"190 Kinure, Co. Cork",41721
"191 Laherne, Co. Cork",37667
"192 Leighmoney, Co. Cork",48844
"193 Liscleary, Co. Cork",38878
"194 Nohaval, Co. Cork",43350
"195 Templebreedy, Co. Cork",40889
"196 Templemichael, Co. Cork",36082
"197 Aghinagh, Co. Cork",43585
"198 Aglish, Co. Cork",45772
"199 Béal Átha an Ghaorthaidh (Bealanageary), Co. Cork",36760
"200 Ceann Droma, Co. Cork",50465
"201 Cannaway, Co. Cork",44562
"202 Claonráth, Co. Cork",43744
"203 Clondrohid, Co. Cork",35139
"204 Clonmoyle, Co. Cork",32744
"205 Doire Fhínín, Co. Cork",38703
"206 Gort na Tiobratan, Co. Cork",38232
"207 Gowlane, Co. Cork",33804
"208 Greenville, Co. Cork",38671
"209 Inchigeelagh, Co. Cork",37498
"210 Kilberrihert, Co. Cork",34457
"211 Kilcullen, Co. Cork",37277
"212 Cill na Martra, Co. Cork",38758
"213 Macloneigh, Co. Cork",37898
"214 Magourney, Co. Cork",36826
"215 Mashanaglass, Co. Cork",41464
"216 Mountrivers, Co. Cork",36310
"217 Rahalisk, Co. Cork",40464
"218 An Sliabh Riabhach, Co. Cork",44782
"219 Na hUláin, Co. Cork",39788
"220 Warrenscourt, Co. Cork",41226
"221 Ardskeagh, Co. Cork",40565
"222 Ballyclogh, Co. Cork",44790
"223 Ballynamona, Co. Cork",39610
"224 Buttevant, Co. Cork",38546
"225 Caherduggan, Co. Cork",41989
"226 Carrig, Co. Cork",37067
"227 Churchtown, Co. Cork",39051
"228 Clenor, Co. Cork",37345
"229 Doneraile, Co. Cork",36519
"230 Dromore, Co. Cork",38000
"231 Imphrick, Co. Cork",42683
"232 Kilmaclenine, Co. Cork",35723
"233 Kilshannig, Co. Cork",40645
"234 Liscarroll, Co. Cork",39740
"235 Mallow Rural, Co. Cork",39236
"236 Milltown, Co. Cork",29786
"237 Monanimy, Co. Cork",34976
"238 Rahan, Co. Cork",41029
"239 Rathluirc, Co. Cork",37376
"240 Shanballymore, Co. Cork",35144
"241 Skahanagh, Co. Cork",42370
"242 Springfort, Co. Cork",44665
"243 Streamhill, Co. Cork",..
"244 Templemary, Co. Cork",39491
"245 Wallstown, Co. Cork",40812
"246 Ballintemple, Co. Cork",44738
"247 Ballycottin, Co. Cork",42871
"248 Ballyspillane, Co. Cork",39796
"249 Carrigtohill, Co. Cork",39685
"250 Castlemartyr, Co. Cork",38540
"251 Clonmult, Co. Cork",42226
"252 Cloyne, Co. Cork",38754
"253 Corkbeg, Co. Cork",39509
"254 Dangan, Co. Cork",44970
"255 Dungourney, Co. Cork",44804
"256 Garryvoe, Co. Cork",41667
"257 Ightermurragh, Co. Cork",43179
"258 Inch, Co. Cork",40807
"259 Lisgoold, Co. Cork",49907
"260 Midleton Rural, Co. Cork",41990
"261 Mogeely, Co. Cork",42044
"262 Rostellan, Co. Cork",43222
"263 Templebodan, Co. Cork",39115
"264 Templenacarriga, Co. Cork",46631
"265 Caherbarnagh, Co. Cork",40556
"266 Coomlogane, Co. Cork",36683
"267 Crinnaloo, Co. Cork",35069
"268 Cullen, Co. Cork",41826
"269 Derragh, Co. Cork",40459
"270 Doonasleen, Co. Cork",42306
"271 Drishane, Co. Cork",41903
"272 Keale, Co. Cork",36907
"273 Kilcorney, Co. Cork",35049
"274 Knocknagree, Co. Cork",45102
"275 Rathcool, Co. Cork",38897
"276 Skagh, Co. Cork",39380
"277 Ballyarthur, Co. Cork",48081
"278 Derryvillane, Co. Cork",36351
"279 Farahy, Co. Cork",47231
"280 Kildorrery, Co. Cork",44715
"281 Kilgullane, Co. Cork",41216
"282 Kilphelan, Co. Cork",41513
"283 Marshalstown, Co. Cork",48659
"284 Mitchelstown, Co. Cork",40810
"285 Templemolaga, Co. Cork",41182
"286 Aghadown North, Co. Cork",28941
"287 Aghadown South, Co. Cork",44066
"288 Bredagh, Co. Cork",37858
"289 Caheragh, Co. Cork",..
"290 Cléire, Co. Cork",..
"291 Carrigbaun, Co. Cork",29684
"292 Castlehaven North, Co. Cork",43412
"293 Castlehaven South, Co. Cork",33242
"294 Cloghdonnell, Co. Cork",36422
"295 Cloonkeen, Co. Cork",33998
"296 Drinagh, Co. Cork",39531
"297 Dromdaleague North, Co. Cork",..
"298 Dromdaleague South, Co. Cork",30931
"299 Garranes, Co. Cork",40255
"300 Gortnascreeny, Co. Cork",37207
"301 Kilfaughnabeg, Co. Cork",33711
"302 Killeenleagh, Co. Cork",33252
"303 Knockskagh, Co. Cork",33252
"304 Myross, Co. Cork",35846
"305 Shreelane, Co. Cork",28726
"306 Skibbereen Rural, Co. Cork",36331
"307 Tullagh, Co. Cork",40807
"308 Woodfort, Co. Cork",38087
"309 Ballybane, Co. Cork",31722
"310 Ballydehob, Co. Cork",21404
"311 Coolagh, Co. Cork",..
"312 Crookhaven, Co. Cork",..
"313 Dunbeacon, Co. Cork",..
"314 Dunmanus, Co. Cork",..
"315 Goleen, Co. Cork",38278
"316 Kilcoe, Co. Cork",43957
"317 Lowertown, Co. Cork",..
"318 Skull, Co. Cork",31293
"319 Toormore, Co. Cork",..
"320 Ardagh, Co. Cork",41978
"321 Clonpriest, Co. Cork",41627
"322 Kilcronat, Co. Cork",43211
"323 Killeagh, Co. Cork",38570
"324 Kilmacdonogh, Co. Cork",42289
"325 Youghal Rural (Part Rural), Co. Cork",44251
"001 Killarney Urban, Co. Kerry",29276
"002 Listowel Urban, Co. Kerry",41806
"003 Tralee Urban, Co. Kerry",23311
"004 Na Beathacha, Co. Kerry",..
"005 Baile an Sceilg, Co. Kerry",24291
"006 An Baile Breac, Co. Kerry",..
"007 Caher, Co. Kerry",28753
"008 Cathair Dónall, Co. Kerry",27034
999 Ceannúigh / Máistir Gaoithe,..
"010 Castlequin, Co. Kerry",32433
"012 Curraghbeg, Co. Kerry",24379
"013 Doire Fhíonáin, Co. Kerry",..
999 Doire Ianna / Cloon,20345
"015 An tImleach, Co. Kerry",26478
"016 Glanbehy, Co. Kerry",33077
"017 Killinane, Co. Kerry",30898
"018 Lickeen, Co. Kerry",..
"019 Loch Luíoch, Co. Kerry",..
"021 Maum, Co. Kerry",..
"022 Portmagee, Co. Kerry",..
"023 Toghroinn Fhíonáin, Co. Kerry",..
"024 Teeranearagh, Co. Kerry",..
"025 Valencia, Co. Kerry",35490
"026 Ballinvoher, Co. Kerry",39375
"027 An Baile Dubh, Co. Kerry",..
"028 Ballynacourty, Co. Kerry",35611
"029 Cé Bhréanainn, Co. Kerry",..
"030 Castlegregory, Co. Kerry",35457
"031 An Clochán, Co. Kerry",32534
"032 Deelis, Co. Kerry",37241
"033 An Daingean, Co. Kerry",38856
"034 Dún Chaoin, Co. Kerry",..
"035 Dún Urlann, Co. Kerry",32868
"036 Na Gleannta, Co. Kerry",37211
"037 Inch, Co. Kerry",..
"038 Cill Maoilchéadair, Co. Kerry",33699
"039 Cill Chuáin, Co. Kerry",28497
"040 Cinn Aird, Co. Kerry",39791
"041 Lack, Co. Kerry",27743
"042 Márthain, Co. Kerry",30409
"043 An Mhin Aird, Co. Kerry",41555
"044 An Sráidbhaile, Co. Kerry",..
"045 Ceann Trá, Co. Kerry",42842
"046 Ardea, Co. Kerry",..
"047 Banawn, Co. Kerry",34552
"048 Cappagh, Co. Kerry",29899
"049 Castlecove, Co. Kerry",..
"050 Dawros, Co. Kerry",28658
"051 Dromore, Co. Kerry",36348
"052 Glanlee, Co. Kerry",..
"053 Glanlough, Co. Kerry",..
"054 Glanmore, Co. Kerry",..
"055 Greenane, Co. Kerry",51290
"056 Kenmare, Co. Kerry",34338
"057 Kilgarvan, Co. Kerry",38093
"058 Loughbrin, Co. Kerry",..
"059 Reen, Co. Kerry",..
"060 Sneem, Co. Kerry",..
"061 Tahilla, Co. Kerry",..
"062 Aghadoe, Co. Kerry",41873
"063 Aglish, Co. Kerry",27403
"064 Ballyhar, Co. Kerry",..
"065 Brewsterfield, Co. Kerry",47701
"066 Caragh, Co. Kerry",27078
"067 Churchtown, Co. Kerry",44128
"068 Clydagh, Co. Kerry",..
"069 Coolies, Co. Kerry",30384
"070 Coom, Co. Kerry",34199
"071 Curraghmore, Co. Kerry",31862
"072 Currans, Co. Kerry",..
"073 Doocarrig, Co. Kerry",38785
"074 Dromin, Co. Kerry",34144
"075 Dunloe, Co. Kerry",37753
"076 Flesk, Co. Kerry",41661
"077 Headfort, Co. Kerry",42740
"078 Kilbonane, Co. Kerry",42590
"079 Kilcummin, Co. Kerry",45547
"080 Kilfelim, Co. Kerry",..
"081 Kilgobnet, Co. Kerry",34449
"082 Killarney Rural (Part Urban), Co. Kerry",41635
"083 Killeentierna, Co. Kerry",30951
"084 Killorglin, Co. Kerry",32240
"085 Kilnanare, Co. Kerry",24181
"086 Knocknahoe, Co. Kerry",33159
"087 Lahard, Co. Kerry",40551
"088 Milltown, Co. Kerry",41074
"089 Molahiffe, Co. Kerry",32193
"090 Muckross (Part Urban), Co. Kerry",37185
"091 Rathmore, Co. Kerry",37673
"092 Rockfield, Co. Kerry",45744
"093 Ardagh, Co. Kerry",34649
"094 Astee, Co. Kerry",44770
"095 Ballincloher, Co. Kerry",52240
"096 Ballyconry, Co. Kerry",51090
"097 Ballyduff, Co. Kerry",35547
"098 Ballyegan, Co. Kerry",..
"099 Ballyhorgan, Co. Kerry",32653
"100 Beal, Co. Kerry",46567
"101 Carrig, Co. Kerry",36168
"102 Causeway, Co. Kerry",33665
"103 Cloontubbrid, Co. Kerry",46821
"104 Drommartin, Co. Kerry",38774
"105 Duagh, Co. Kerry",39747
"106 Ennismore, Co. Kerry",36871
"107 Gullane, Co. Kerry",38653
"108 Gunsborough, Co. Kerry",40262
"109 Kilfeighny, Co. Kerry",36187
"110 Killehenny, Co. Kerry",41738
"111 Killury, Co. Kerry",34638
"112 Kilmeany, Co. Kerry",35369
"113 Kilshenane, Co. Kerry",..
"114 Kiltomy, Co. Kerry",43628
"115 Leitrim, Co. Kerry",40091
"116 Lislaughtin, Co. Kerry",42003
"117 Lisselton, Co. Kerry",37441
"118 Listowel Rural, Co. Kerry",43169
"119 Lixnaw, Co. Kerry",29783
"120 Moynsha, Co. Kerry",36833
"121 Newtownsandes, Co. Kerry",37536
"122 Rathea, Co. Kerry",..
"123 Shronowen, Co. Kerry",41890
"124 Tarbert, Co. Kerry",39654
"125 Tarmon, Co. Kerry",37998
"126 Trienearagh, Co. Kerry",33034
"127 Urlee, Co. Kerry",54557
"128 Abbeydorney, Co. Kerry",36347
"129 Arabela, Co. Kerry",44569
"130 Ardfert, Co. Kerry",49949
"131 Ballyegan, Co. Kerry",33000
"132 Ballyheige, Co. Kerry",26103
"133 Ballynahaglish, Co. Kerry",53009
"134 Ballynorig, Co. Kerry",45675
"135 Ballyseedy, Co. Kerry",30685
"136 Banna, Co. Kerry",34463
"137 Baurtregaum, Co. Kerry",..
"138 Blennerville (Part Urban), Co. Kerry",43301
"139 Boolteens, Co. Kerry",31340
"140 Brosna, Co. Kerry",36342
"141 Carker, Co. Kerry",33701
"142 Castleisland, Co. Kerry",31920
"143 Clogherbrien, Co. Kerry",44050
"144 Cordal, Co. Kerry",37755
"145 Crinny, Co. Kerry",36452
"146 Derreen, Co. Kerry",40219
"147 Doon, Co. Kerry",48019
"148 Gneeves, Co. Kerry",30065
"149 Kerryhead, Co. Kerry",30421
"150 Kilflyn, Co. Kerry",..
"151 Kilgarrylander, Co. Kerry",23593
"152 Kilgobban, Co. Kerry",30797
"153 Killahan, Co. Kerry",30475
"154 Kilmurry, Co. Kerry",29606
"155 Kiltallagh, Co. Kerry",28469
"156 Knockglass, Co. Kerry",46744
"157 Knocknagashel, Co. Kerry",33261
"158 Lackabaun, Co. Kerry",37212
"159 Millbrook, Co. Kerry",36200
"160 Mount Eagle, Co. Kerry",..
"161 Nohaval, Co. Kerry",35820
"162 O'Brennan, Co. Kerry",40838
"163 Ratass, Co. Kerry",55026
"164 Scartaglin, Co. Kerry",34440
"165 Tralee Rural (Part Urban), Co. Kerry",35009
"166 Tubrid, Co. Kerry",49578
"001 Abbey A, Limerick City",32209
"002 Abbey B, Limerick City",28949
"003 Abbey C, Limerick City",..
"004 Abbey D, Limerick City",25927
"005 Ballinacurra A, Limerick City",42091
"006 Ballinacurra B, Limerick City",38421
"007 Ballynanty, Limerick City",17965
"008 Castle A, Limerick City",30425
"009 Castle B, Limerick City",..
"010 Castle C, Limerick City",52858
"011 Castle D, Limerick City",42376
"012 Coolraine, Limerick City",30298
"013 Custom House, Limerick City",24572
"014 Dock A, Limerick City",25964
"015 Dock B, Limerick City",24269
"016 Dock C, Limerick City",27950
"017 Dock D, Limerick City",44090
"018 Farranshone, Limerick City",37506
"019 Galvone A, Limerick City",28585
"020 Galvone B, Limerick City",..
"021 Glentworth A, Limerick City",..
"022 Glentworth B, Limerick City",28357
"023 Glentworth C, Limerick City",..
"024 John's A, Limerick City",..
"025 John's B, Limerick City",..
"026 John's C, Limerick City",25385
"027 Killeely A, Limerick City",20669
"028 Killeely B, Limerick City",29090
"029 Market, Limerick City",19356
"030 Prospect A, Limerick City",..
"031 Prospect B, Limerick City",..
"032 Rathbane, Limerick City",21880
"033 St. Laurence, Limerick City",23816
"034 Shannon A, Limerick City",34398
"035 Shannon B, Limerick City",..
"036 Singland A, Limerick City",28692
"037 Singland B, Limerick City",28064
"065 Limerick North Rural, Limerick City",35890
"001 Abbeyville, Co. Limerick",31573
"002 Adare North, Co. Limerick",37219
"003 Adare South, Co. Limerick",39422
"004 Ballingarry, Co. Limerick",34770
"005 Ballyagran, Co. Limerick",40028
"006 Ballygrennan, Co. Limerick",38324
"007 Ballynabanoge, Co. Limerick",45889
"008 Ballynoe, Co. Limerick",44821
